País;Nivel Educación;Ítem;Valor;Dimension_ISDE;Dimension_Nombre
AL;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
AL;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
AL;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
AL;ESO;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
AL;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
AL;ESO;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
AL;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
AL;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
AL;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;ESO;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
AL;ESO;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;Si;D4;Liderazgo y Política Institucional
AL;Bachillerato;Designación de coordinador/a digital en los centros;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Plan digital integrado en el plan de centro;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Integrada en otras materias obligatorias;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Informática como asignatura separada, optativa;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AL;Bachillerato;Autonomía del centro/autoridad local;No;D4;Liderazgo y Política Institucional
AL;Bachillerato;Informática no se imparte como asignatura separada;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para todo el profesorado;Si;D4;Liderazgo y Política Institucional
AT;ESO;Hay requisitos de nivel superior obligatorios de las competencias específicas digitales para algunos profesores;No;D4;Liderazgo y Política Institucional
AT;ESO;No hay ningún requisito de nivel superior obligatorio de las competencias específicas digitales del profesorado;No;D4;Liderazgo y Política Institucional
AT;ESO;Designación de coordinador/a digital en los centros;Si;D4;Liderazgo y Política Institucional
AT;ESO;Plan digital de centro como documento específico;No;D4;Liderazgo y Política Institucional
AT;ESO;Plan digital integrado en el plan de centro;Si;D4;Liderazgo y Política Institucional
AT;ESO;Criterios de educación digital en marcos de evaluación externa;No;D4;Liderazgo y Política Institucional
AT;ESO;Asignatura separada obligatoria;Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;ESO;Otras (p. ej., optativa);No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;ESO;Integrada en otras materias obligatorias;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;ESO;Transversal (cross-curricular);Si;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;ESO;No incluida en currículo;No;D3;Pedagogía Digital / Uso Pedagógico TIC
AT;ESO;Autonomía centro/local;No;D4;Liderazgo y Política Institucional
AT;ESO;Informática como asignatura separada y obligatoria;No;D3;Pedagogía Digital / Uso Pedagógico TIC
