País;D1;D2;D3;D4;D5
Albania;55.0;20.5;43.6;8.6;24.4
Austria;66.2;21.7;35.6;32.1;36.8
Bulgaria;61.6;17.6;32.3;19.7;23.4
Chequia;65.8;21.3;39.2;28.1;31.9
Chipre;42.8;20.7;37.6;26.2;33.6
Croacia;64.6;20.6;41.3;17.4;33.9
Dinamarca;70.2;22.1;41.2;21.5;46.9
Eslovaquia;64.6;19.8;34.4;19.6;36.0
Eslovenia;65.6;19.5;41.2;20.6;30.9
España;68.8;21.0;41.3;46.5;34.6
Estonia;66.1;20.9;37.4;30.3;27.9
Finlandia;68.9;21.7;38.7;23.0;33.3
Francia;60.5;18.7;40.8;33.1;37.4
Hungría;64.7;20.0;39.5;22.2;30.4
Italia;57.8;17.6;35.2;35.5;29.9
Letonia;63.9;20.6;38.1;21.4;23.7
Lituania;65.2;22.3;41.3;23.8;25.8
Macedonia del Norte;60.6;17.0;32.2;21.0;23.0
Malta;63.2;21.3;43.2;38.5;35.3
Montenegro;62.6;17.0;40.8;15.5;21.1
Noruega;70.2;23.5;33.3;28.5;40.5
Países Bajos;71.0;22.9;29.5;30.8;46.5
Polonia;63.4;22.7;34.9;14.1;32.6
Portugal;65.8;21.2;33.1;28.5;33.1
Rumanía;58.1;20.3;27.7;18.9;22.9
Serbia;60.5;17.9;39.5;16.4;27.7
Suecia;68.3;20.8;38.1;27.7;38.9
Turquía;63.2;20.3;34.3;15.6;27.6
