Pais;Pregunta;Respuesta;Valor;Porcentaje;Dimension_ISDE;Dimension_Nombre
ALB;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;;0,15;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;No;18,24;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;Sí mixta;13,28;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;Sí presencial;61,45;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Actividades de aprendizaje por iniciativa propia;Sí virtual online;6,88;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;;0,05;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;No;16,41;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;Sí mixta;18,42;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;Sí presencial;55,25;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Coaching como parte de un acuerdo escolar formal;Sí virtual online;9,88;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;;0,15;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;No;51,38;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;Sí mixta;12,04;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;Sí presencial;20,55;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Conferencias educativas de los docentes u otros;Sí virtual online;15,88;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Cursos/seminarios/talleres;;0,05;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Cursos/seminarios/talleres;No;13,48;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Cursos/seminarios/talleres;Sí mixta;30,06;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Cursos/seminarios/talleres;Sí presencial;38,15;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Cursos/seminarios/talleres;Sí virtual online;18,27;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Otro;;0,25;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Otro;No;56,74;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Otro;Sí mixta;10,87;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Otro;Sí presencial;23,68;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Otro;Sí virtual online;8,46;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Programa de cualificación formal;;0,1;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Programa de cualificación formal;No;52,44;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Programa de cualificación formal;Sí mixta;11,12;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Programa de cualificación formal;Sí presencial;29,24;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Programa de cualificación formal;Sí virtual online;7,1;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;;0,12;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;No;6,73;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;Sí mixta;25,91;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;Sí presencial;56,84;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Redes formales o informales de profesores para la formación profesional;Sí virtual online;10,4;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;;0,07;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;No;17,55;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;Sí mixta;13,7;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;Sí presencial;63,27;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Reflexiones sobre las observaciones de la lección;Sí virtual online;5,41;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Visitas a locales comerciales, organizaciones públicas u ONG relacionadas con mi enseñanza;;0,1;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Visitas a locales comerciales, organizaciones públicas u ONG relacionadas con mi enseñanza;No;55,25;D2;Competencia Digital Docente
ALB;Actividades de desarrollo profesional;Visitas a locales comerciales, organizaciones públicas u ONG relacionadas con mi enseñanza;Sí mixta;8,46;D2;Competencia Digital Docente
