País;Código_ISO;Año;Indicador;ID_Indicador;Nivel_Educación;Tipo_Recurso;Valor_Porcentaje;Calificador;Magnitud;Dimension_ISDE;Dimension_Nombre
Albania;ALB;2018;Proporción de centros de Educación Secundaria Superior con acceso a ordenadores con fines pedagógicos (%);SCHBSP.3.WCOMPUT;Bachillerato (ISCED 3 - Secundaria Superior);Ordenadores;81,61616162;;;D1;Infraestructura Digital
Albania;ALB;2018;Proporción de centros de Educación Secundaria Superior con acceso a Internet con fines pedagógicos (%);SCHBSP.3.WINTERN;Bachillerato (ISCED 3 - Secundaria Superior);Internet;90,90909091;;;D1;Infraestructura Digital
Albania;ALB;2018;Proporción de centros de Educación Secundaria Inferior con acceso a Internet con fines pedagógicos (%);SCHBSP.2.WINTERN;ESO (ISCED 2 - Secundaria Inferior);Internet;68,32713755;;;D1;Infraestructura Digital
Albania;ALB;2018;Proporción de centros de Educación Secundaria con acceso a ordenadores con fines pedagógicos (%);SCHBSP.2T3.WCOMPUT;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Ordenadores;74,07608696;;;D1;Infraestructura Digital
Albania;ALB;2018;Proporción de centros de Educación Secundaria con acceso a Internet con fines pedagógicos (%);SCHBSP.2T3.WINTERN;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Internet;74,40217391;;;D1;Infraestructura Digital
Albania;ALB;2019;Proporción de centros de Educación Secundaria Superior con acceso a ordenadores con fines pedagógicos (%);SCHBSP.3.WCOMPUT;Bachillerato (ISCED 3 - Secundaria Superior);Ordenadores;81,69014085;;;D1;Infraestructura Digital
Albania;ALB;2019;Proporción de centros de Educación Secundaria Superior con acceso a Internet con fines pedagógicos (%);SCHBSP.3.WINTERN;Bachillerato (ISCED 3 - Secundaria Superior);Internet;90,94567404;;;D1;Infraestructura Digital
Albania;ALB;2019;Proporción de centros de Educación Secundaria Inferior con acceso a Internet con fines pedagógicos (%);SCHBSP.2.WINTERN;ESO (ISCED 2 - Secundaria Inferior);Internet;83,92434988;;;D1;Infraestructura Digital
Albania;ALB;2019;Proporción de centros de Educación Secundaria con acceso a ordenadores con fines pedagógicos (%);SCHBSP.2T3.WCOMPUT;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Ordenadores;82,50283126;;;D1;Infraestructura Digital
Albania;ALB;2019;Proporción de centros de Educación Secundaria con acceso a Internet con fines pedagógicos (%);SCHBSP.2T3.WINTERN;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Internet;85,90033975;;;D1;Infraestructura Digital
Albania;ALB;2020;Proporción de centros de Educación Secundaria Superior con acceso a ordenadores con fines pedagógicos (%);SCHBSP.3.WCOMPUT;Bachillerato (ISCED 3 - Secundaria Superior);Ordenadores;100;;;D1;Infraestructura Digital
Albania;ALB;2020;Proporción de centros de Educación Secundaria Superior con acceso a Internet con fines pedagógicos (%);SCHBSP.3.WINTERN;Bachillerato (ISCED 3 - Secundaria Superior);Internet;100;;;D1;Infraestructura Digital
Albania;ALB;2020;Proporción de centros de Educación Secundaria Inferior con acceso a Internet con fines pedagógicos (%);SCHBSP.2.WINTERN;ESO (ISCED 2 - Secundaria Inferior);Internet;100;;;D1;Infraestructura Digital
Albania;ALB;2020;Proporción de centros de Educación Secundaria con acceso a ordenadores con fines pedagógicos (%);SCHBSP.2T3.WCOMPUT;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Ordenadores;100;;;D1;Infraestructura Digital
Albania;ALB;2020;Proporción de centros de Educación Secundaria con acceso a Internet con fines pedagógicos (%);SCHBSP.2T3.WINTERN;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Internet;100;;;D1;Infraestructura Digital
Albania;ALB;2021;Proporción de centros de Educación Secundaria Superior con acceso a ordenadores con fines pedagógicos (%);SCHBSP.3.WCOMPUT;Bachillerato (ISCED 3 - Secundaria Superior);Ordenadores;67,26907631;;;D1;Infraestructura Digital
Albania;ALB;2021;Proporción de centros de Educación Secundaria Superior con acceso a Internet con fines pedagógicos (%);SCHBSP.3.WINTERN;Bachillerato (ISCED 3 - Secundaria Superior);Internet;67,26907631;;;D1;Infraestructura Digital
Albania;ALB;2021;Proporción de centros de Educación Secundaria Inferior con acceso a Internet con fines pedagógicos (%);SCHBSP.2.WINTERN;ESO (ISCED 2 - Secundaria Inferior);Internet;72,26962457;;;D1;Infraestructura Digital
Albania;ALB;2021;Proporción de centros de Educación Secundaria con acceso a ordenadores con fines pedagógicos (%);SCHBSP.2T3.WCOMPUT;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Ordenadores;78,32335329;;;D1;Infraestructura Digital
Albania;ALB;2021;Proporción de centros de Educación Secundaria con acceso a Internet con fines pedagógicos (%);SCHBSP.2T3.WINTERN;ESO + Bachillerato (ISCED 2-3 - Secundaria completa);Internet;70,77844311;;;D1;Infraestructura Digital
